ParName   Value   Gradient
log_rec_dev(1932)   -0.0707517 -4.15994e-06
log_rec_dev(1933)   -0.0738149 -4.17186e-06
log_rec_dev(1934)   -0.0771687 -3.37377e-06
log_rec_dev(1935)   -0.0808084 -3.86011e-06
log_rec_dev(1936)   -0.0846795 -3.96307e-06
log_rec_dev(1937)   -0.0888658 -4.76137e-06
log_rec_dev(1938)   -0.0934107 -3.87799e-06
log_rec_dev(1939)   -0.0982817 -3.40517e-06
log_rec_dev(1940)    -0.103416 -5.57201e-06
log_rec_dev(1941)    -0.108842 -4.23369e-06
log_rec_dev(1942)    -0.114597 -5.92473e-06
log_rec_dev(1943)    -0.120584 -2.78319e-06
log_rec_dev(1944)    -0.126781 -3.41881e-06
log_rec_dev(1945)     -0.13317 -3.36413e-06
log_rec_dev(1946)     -0.13969 -3.84725e-06
log_rec_dev(1947)     -0.14623 -2.33818e-06
log_rec_dev(1948)    -0.152666 -1.54819e-06
log_rec_dev(1949)    -0.158838 -1.00223e-06
log_rec_dev(1950)    -0.164463 -1.50832e-06
log_rec_dev(1951)    -0.169198 -1.14914e-06
log_rec_dev(1952)    -0.172581 -7.43568e-07
log_rec_dev(1953)    -0.175674 -1.12915e-06
log_rec_dev(1954)    -0.175935  2.78682e-07
log_rec_dev(1955)    -0.171605  3.10354e-07
log_rec_dev(1956)    -0.160719 -6.06177e-07
log_rec_dev(1957)    -0.142141 -1.39255e-06
log_rec_dev(1958)    -0.112575  5.52126e-08
log_rec_dev(1959)   -0.0681479 -1.06057e-06
log_rec_dev(1960)  -0.00188751  9.40603e-07
log_rec_dev(1961)    0.0940518  2.58631e-07
log_rec_dev(1962)     0.215235  2.03897e-06
log_rec_dev(1963)     0.344861  1.26814e-06
log_rec_dev(1964)     0.431834  2.03705e-06
log_rec_dev(1965)     0.443116  1.06092e-06
log_rec_dev(1966)     0.316459 -3.52637e-06
log_rec_dev(1967)     0.153442 -3.51051e-06
log_rec_dev(1968)   0.00613306 -1.04627e-06
log_rec_dev(1969)     -0.11649 -3.47181e-06
log_rec_dev(1970)    -0.222628 -4.23931e-06
log_rec_dev(1971)    -0.314557 -3.38137e-06
log_rec_dev(1972)    -0.374449 -5.53074e-06
log_rec_dev(1973)    -0.395965 -3.57452e-06
log_rec_dev(1974)    -0.376846 -4.50214e-06
log_rec_dev(1975)     -1.30471 -5.14523e-06
log_rec_dev(1976)     -1.18406 -3.34374e-06
log_rec_dev(1977)     -1.19612 -3.13274e-06
