ParName   Value   Gradient
log_F_devs_fish1(1983)    -0.463809  1.47523e-06
log_F_devs_fish1(1984)    -0.508529  -1.0265e-07
log_F_devs_fish1(1985)    -0.336394 -3.57234e-07
log_F_devs_fish1(1986)     0.145114  2.01283e-07
log_F_devs_fish1(1987)     0.427485  1.78399e-06
log_F_devs_fish1(1988)     0.568705  1.62759e-06
log_F_devs_fish1(1989)     0.617344  2.82716e-06
log_F_devs_fish1(1990)     0.635578  1.30958e-06
log_F_devs_fish1(1991)     0.606764  1.72461e-06
log_F_devs_fish1(1992)     0.542214  5.62928e-07
log_F_devs_fish1(1993)      0.65691 -6.01778e-08
log_F_devs_fish1(1994)     0.599622 -2.06844e-07
log_F_devs_fish1(1995)     0.498092 -9.42217e-07
log_F_devs_fish1(1996)     0.391377 -6.36537e-07
log_F_devs_fish1(1997)     0.315471  -1.0184e-06
log_F_devs_fish1(1998)     0.323942 -2.55563e-07
log_F_devs_fish1(1999)     0.277067 -1.22463e-06
log_F_devs_fish1(2000)     0.445305 -6.22237e-07
log_F_devs_fish1(2001)     0.324992 -3.41289e-07
log_F_devs_fish1(2002)     0.338857 -4.87552e-07
log_F_devs_fish1(2003)     0.472629 -7.39427e-07
log_F_devs_fish1(2004)     0.505597 -1.77601e-06
log_F_devs_fish1(2005)     0.424025  -1.7181e-06
log_F_devs_fish1(2006)     0.400745 -1.07203e-06
log_F_devs_fish1(2007)     0.460858  8.84391e-07
log_F_devs_fish1(2008)     0.416956 -1.09074e-06
log_F_devs_fish1(2009)     0.357438 -8.75102e-08
log_F_devs_fish1(2010)      0.30771 -1.66588e-06
log_F_devs_fish1(2011)     0.409225  -9.9389e-07
log_F_devs_fish1(2012)     0.481973 -1.69814e-07
log_F_devs_fish1(2013)     0.487534 -8.17777e-07
log_F_devs_fish1(2014)     0.346453 -1.13888e-06
log_F_devs_fish1(2015)     0.341515 -2.24421e-06
log_F_devs_fish1(2016)        0.374  -4.8433e-06
log_F_devs_fish1(2017)     0.438957 -4.20067e-06
log_F_devs_fish1(2018)     0.331206 -7.57974e-08
log_F_devs_fish1(2019)     0.206526   1.1929e-06
log_F_devs_fish1(2020)    0.0143409   1.6238e-06
log_F_devs_fish1(2021)     0.184646  5.11272e-07
log_F_devs_fish1(2022)        0.305 -4.52835e-07
log_F_devs_fish1(2023)     0.112482 -1.29188e-06
log_avg_F_fish3     -4.30036  7.22375e-05
log_F_devs_fish3(1963)     0.136898  1.00734e-06
log_F_devs_fish3(1964)    -0.317631  6.75785e-07
log_F_devs_fish3(1965)     0.330167 -3.22736e-07
log_F_devs_fish3(1966)     0.726074 -1.33794e-06
log_F_devs_fish3(1967)     0.975832 -1.73985e-07
log_F_devs_fish3(1968)      1.23636  3.32659e-07
log_F_devs_fish3(1969)       1.3359  3.72241e-07
log_F_devs_fish3(1970)      1.02609 -3.11997e-07
log_F_devs_fish3(1971)      1.38592 -2.87942e-07
log_F_devs_fish3(1972)      1.63614  3.53569e-07
log_F_devs_fish3(1973)      1.13712   5.1326e-07
log_F_devs_fish3(1974)     0.798404  2.07796e-07
log_F_devs_fish3(1975)     0.552604  2.94154e-07
log_F_devs_fish3(1976)     0.599438 -2.54307e-07
log_F_devs_fish3(1977)    -0.224271 -3.40493e-07
log_F_devs_fish3(1978)    -0.870596 -5.92152e-07
log_F_devs_fish3(1979)    -0.613359 -1.25668e-06
log_F_devs_fish3(1980)    -0.375302  2.02596e-07
log_F_devs_fish3(1981)    -0.691356  5.55903e-07
log_F_devs_fish3(1982)    -0.683741 -3.52599e-07
log_F_devs_fish3(1983)    -0.915786 -4.16176e-08
log_F_devs_fish3(1984)     -0.15602 -1.50086e-06
log_F_devs_fish3(1985)     -1.14747 -2.98031e-07
log_F_devs_fish3(1986)     0.408068  4.42884e-08
log_F_devs_fish3(1987)     0.477489 -1.38003e-07
log_F_devs_fish3(1988)     0.729257  -5.9371e-07
log_F_devs_fish3(1989)     0.610064   3.6754e-07
log_F_devs_fish3(1990)     0.268997 -1.26596e-06
log_F_devs_fish3(1991)   -0.0504843 -1.41254e-06
log_F_devs_fish3(1992)   -0.0328306  -5.1511e-07
log_F_devs_fish3(1993)    -0.113357 -3.19537e-06
log_F_devs_fish3(1994)     0.104045 -1.06155e-06
log_F_devs_fish3(1995)    0.0398728 -9.10299e-07
log_F_devs_fish3(1996)   -0.0809399 -9.32314e-07
log_F_devs_fish3(1997)    -0.331657 -3.40478e-08
log_F_devs_fish3(1998)     -0.39892 -7.84831e-08
log_F_devs_fish3(1999)    -0.113814  8.40009e-07
log_F_devs_fish3(2000)    -0.114266 -5.40107e-07
log_F_devs_fish3(2001)    -0.260745   5.8881e-07
log_F_devs_fish3(2002)   -0.0748027 -1.18034e-06
log_F_devs_fish3(2003)    -0.208652 -1.94768e-06
log_F_devs_fish3(2004)    -0.461524 -1.11306e-06
log_F_devs_fish3(2005)    -0.538046 -1.25178e-06
log_F_devs_fish3(2006)    -0.750504 -5.17514e-07
log_F_devs_fish3(2007)    -0.728876  3.98913e-07
log_F_devs_fish3(2008)    -0.778832 -1.22653e-06
log_F_devs_fish3(2009)    -0.791608 -8.00998e-07
log_F_devs_fish3(2010)    -0.810786 -6.24409e-07
log_F_devs_fish3(2011)    -0.626228 -1.05756e-06
log_F_devs_fish3(2012)     -0.66595 -5.94878e-07
log_F_devs_fish3(2013)    -0.691594  -9.2409e-07
log_F_devs_fish3(2014)        -0.66  -2.1292e-08
log_F_devs_fish3(2015)      -0.5615 -9.91658e-07
log_F_devs_fish3(2016)    -0.380322 -9.75723e-07
log_F_devs_fish3(2017)    0.0759502 -1.42975e-06
log_F_devs_fish3(2018)     0.412114   2.8077e-06
log_F_devs_fish3(2019)     0.476252  3.26498e-06
log_F_devs_fish3(2020)     0.627853  1.99153e-06
log_F_devs_fish3(2021)    0.0153684  3.85524e-06
log_F_devs_fish3(2022)   -0.0247354  2.78272e-06
log_F_devs_fish3(2023)     0.124231    2.929e-06
log_q_srv1      1.93445  9.11622e-06
log_q_srv2      1.65802 -1.12119e-05
log_q_srv6      1.40441   -2.297e-06
log_q_srv7    -0.101818   5.1952e-06
log_q_srv8     -6.57513  4.75522e-06
log_q_LL_fish_recent     -7.00058  1.28791e-05
log_a50_fish3_f      2.00044  -3.3796e-06
log_delta_fish3_f      2.07125  1.95009e-05
log_a50_fish3_m       1.9891 -5.01325e-06
log_a50_fish4_f     0.962718  4.06664e-06
log_delta_fish4_f      1.07796  7.33538e-07
log_a50_fish4_m      1.08769 -2.88374e-06
log_delta_fish4_m     0.574256 -4.60047e-07
log_a50_fish5_f       2.1807 -5.72662e-06
log_delta_fish5_f      2.28731  3.43245e-07
d50_fish5_f    0.0226223            0
gamma_fish5_f     0.648443            0
log_a50_fish5_m      2.77126 -3.43025e-06
log_delta_fish5_m      3.27842  2.01171e-06
d50_fish5_m    0.0222238            0
log_a50_srv1_f     0.879825 -8.62342e-06
log_delta_srv1_f     0.746306 -4.48317e-07
log_a50_srv1_m     0.919759  5.02559e-07
log_delta_srv1_m     0.441515  6.64851e-08
log_a50_srv7_f     -0.65238 -1.74534e-06
log_a50_srv7_m      -1.3297  -1.8927e-07
log_a50_srv10_f     0.553911  6.66866e-07
log_delta_srv10_f      1.06131  5.58697e-08
log_a50_srv10_m     0.499589  1.36997e-06
log_delta_srv10_m      1.04887  7.25863e-07
