ParName   Value   Gradient
log_F_devs_fish1(1983)    -0.462829 -2.87594e-08
log_F_devs_fish1(1984)    -0.513781  1.51351e-06
log_F_devs_fish1(1985)    -0.349275  8.77817e-07
log_F_devs_fish1(1986)     0.128793  1.18851e-06
log_F_devs_fish1(1987)     0.412101  1.29774e-06
log_F_devs_fish1(1988)     0.559637  2.54579e-06
log_F_devs_fish1(1989)     0.619295  1.60884e-06
log_F_devs_fish1(1990)     0.644867  9.08379e-07
log_F_devs_fish1(1991)     0.620704  1.21156e-06
log_F_devs_fish1(1992)     0.562795   3.7701e-07
log_F_devs_fish1(1993)     0.679369 -5.37885e-07
log_F_devs_fish1(1994)     0.630888 -9.89869e-07
log_F_devs_fish1(1995)     0.536047 -1.05329e-06
log_F_devs_fish1(1996)     0.437181 -1.49236e-06
log_F_devs_fish1(1997)     0.369978 -1.57381e-06
log_F_devs_fish1(1998)     0.382458 -1.37229e-06
log_F_devs_fish1(1999)     0.334396 -1.54549e-06
log_F_devs_fish1(2000)     0.506814  1.57975e-07
log_F_devs_fish1(2001)     0.376257  -1.0052e-06
log_F_devs_fish1(2002)     0.380791 -8.54706e-08
log_F_devs_fish1(2003)     0.514293  4.31641e-08
log_F_devs_fish1(2004)     0.538506 -1.09753e-06
log_F_devs_fish1(2005)     0.448498 -2.68484e-08
log_F_devs_fish1(2006)     0.424337 -3.28918e-07
log_F_devs_fish1(2007)     0.484655 -6.35367e-08
log_F_devs_fish1(2008)     0.440807  5.60831e-07
log_F_devs_fish1(2009)     0.380053  8.76652e-07
log_F_devs_fish1(2010)     0.327481  3.73361e-07
log_F_devs_fish1(2011)     0.431848 -3.71046e-07
log_F_devs_fish1(2012)     0.505473 -7.44498e-07
log_F_devs_fish1(2013)     0.510248 -6.74943e-07
log_F_devs_fish1(2014)     0.375096 -1.64217e-07
log_F_devs_fish1(2015)     0.380182  2.81832e-08
log_F_devs_fish1(2016)     0.295344 -6.12219e-07
log_F_devs_fish1(2017)     0.359796  1.91605e-07
log_F_devs_fish1(2018)     0.244294 -2.00368e-07
log_F_devs_fish1(2019)     0.104819  -4.0789e-07
log_F_devs_fish1(2020)    -0.165842  7.97294e-07
log_F_devs_fish1(2021)  -0.00649514   8.1104e-07
log_F_devs_fish1(2022)     0.160534  6.91513e-07
log_F_devs_fish1(2023)  -0.00111939   7.2351e-07
log_avg_F_fish3     -4.21997  3.60807e-05
log_F_devs_fish3(1963)     0.122106  9.03847e-07
log_F_devs_fish3(1964)    -0.333604  2.24055e-07
log_F_devs_fish3(1965)     0.311542  1.07799e-07
log_F_devs_fish3(1966)     0.704487 -4.20111e-08
log_F_devs_fish3(1967)      0.95125 -1.41396e-07
log_F_devs_fish3(1968)      1.20903   -8.139e-08
log_F_devs_fish3(1969)      1.30659 -2.05259e-07
log_F_devs_fish3(1970)     0.996087 -1.32609e-07
log_F_devs_fish3(1971)      1.35518 -2.17795e-07
log_F_devs_fish3(1972)      1.60649 -2.15478e-07
log_F_devs_fish3(1973)       1.1108  1.35018e-07
log_F_devs_fish3(1974)     0.774896  3.67247e-07
log_F_devs_fish3(1975)     0.531714  7.65676e-08
log_F_devs_fish3(1976)     0.581323 -1.34935e-07
log_F_devs_fish3(1977)    -0.240141  4.05961e-08
log_F_devs_fish3(1978)    -0.887377 -4.52171e-07
log_F_devs_fish3(1979)    -0.628993 -6.81148e-07
log_F_devs_fish3(1980)    -0.385298  -3.4896e-07
log_F_devs_fish3(1981)    -0.697763 -1.14746e-07
log_F_devs_fish3(1982)    -0.689683  2.81066e-07
log_F_devs_fish3(1983)    -0.923717  5.32062e-07
log_F_devs_fish3(1984)    -0.167632   8.8586e-07
log_F_devs_fish3(1985)     -1.16299 -1.37973e-08
log_F_devs_fish3(1986)     0.389361  5.27153e-07
log_F_devs_fish3(1987)     0.458648  9.36072e-07
log_F_devs_fish3(1988)     0.712578   9.2377e-07
log_F_devs_fish3(1989)     0.599323  5.00171e-07
log_F_devs_fish3(1990)     0.264569 -4.67091e-08
log_F_devs_fish3(1991)   -0.0499283 -5.37657e-08
log_F_devs_fish3(1992)   -0.0283268 -4.13116e-07
log_F_devs_fish3(1993)    -0.103802 -5.42933e-07
log_F_devs_fish3(1994)      0.11937 -4.93598e-07
log_F_devs_fish3(1995)    0.0598011 -5.81048e-07
log_F_devs_fish3(1996)   -0.0584613 -2.99594e-07
log_F_devs_fish3(1997)    -0.308705  -2.8911e-07
log_F_devs_fish3(1998)    -0.376934 -4.58059e-07
log_F_devs_fish3(1999)   -0.0922284 -3.33308e-07
log_F_devs_fish3(2000)   -0.0947513 -3.34373e-07
log_F_devs_fish3(2001)    -0.245398 -1.87908e-07
log_F_devs_fish3(2002)   -0.0620296 -3.96279e-08
log_F_devs_fish3(2003)    -0.198115  9.01737e-08
log_F_devs_fish3(2004)    -0.453242  1.85881e-07
log_F_devs_fish3(2005)    -0.531868  2.39274e-07
log_F_devs_fish3(2006)    -0.746324 -5.26416e-08
log_F_devs_fish3(2007)    -0.726373  2.69533e-07
log_F_devs_fish3(2008)    -0.778706 -9.46299e-08
log_F_devs_fish3(2009)    -0.794258  2.03977e-07
log_F_devs_fish3(2010)    -0.814111  1.18505e-07
log_F_devs_fish3(2011)    -0.628436 -3.92043e-07
log_F_devs_fish3(2012)    -0.665171 -7.66963e-07
log_F_devs_fish3(2013)    -0.687205 -3.28865e-07
log_F_devs_fish3(2014)    -0.649979 -3.77003e-07
log_F_devs_fish3(2015)    -0.544116 -6.61755e-07
log_F_devs_fish3(2016)    -0.352354 -8.54757e-07
log_F_devs_fish3(2017)     0.110998 -2.76493e-07
log_F_devs_fish3(2018)     0.444758 -9.78549e-08
log_F_devs_fish3(2019)     0.501725  2.75478e-07
log_F_devs_fish3(2020)     0.650176  1.94954e-07
log_F_devs_fish3(2021)    0.0387652  1.85615e-07
log_F_devs_fish3(2022)    0.0132679   6.9616e-08
log_F_devs_fish3(2023)     0.183181  1.02063e-06
log_q_srv1      2.04961 -6.28147e-06
log_q_srv2      1.73012 -7.15392e-06
log_q_srv6       1.5189 -1.59422e-06
log_q_srv7   -0.0758645   3.1077e-06
log_q_srv8     -6.45592   1.7429e-06
log_q_LL_fish_recent     -7.03613  3.78492e-06
log_a50_fish3_f      2.09342 -4.19158e-06
log_delta_fish3_f      2.10679  7.13338e-06
log_a50_fish3_m      2.01014 -6.20671e-07
log_a50_fish4_f      1.07135  7.93511e-08
log_delta_fish4_f     0.716045 -1.33967e-07
log_a50_fish4_m      0.97614  7.88466e-08
log_delta_fish4_m      1.20073 -5.55617e-07
log_a50_fish5_f     0.778595 -2.92185e-07
log_delta_fish5_f     0.927964  2.62029e-07
log_a50_fish5_m      1.12444  -2.7411e-07
log_delta_fish5_m    -0.060901  4.81117e-07
log_a50_srv1_f     0.857147  1.21725e-06
log_delta_srv1_f     0.947562    7.208e-07
log_a50_srv1_m      1.12396  -7.6054e-07
log_delta_srv1_m     0.345139  3.33548e-07
log_a50_srv7_f    -0.882234 -2.84136e-06
log_a50_srv7_m     -1.13574 -1.23085e-07
log_a50_srv10_f     0.522065  2.14177e-07
log_delta_srv10_f      1.31826  1.19836e-06
log_a50_srv10_m     0.699797  3.43647e-06
log_delta_srv10_m     0.952091  2.56443e-06
